# HR Saudi - Arabic Translations
# Format: "English","Arabic"

# App Info
"HR Saudi","إتش آر سعودي"
"Enterprise Workforce Platform for Construction & Hotel Operations on ERPNext","منصة متكاملة لإدارة القوى العاملة في قطاع الإنشاءات والفنادق على إيرب نكست"

# DocTypes - Saudi Operations
"Biometric User Mapping","ربط مستخدم البصمة"
"Biometric User Mappings","ربط مستخدمي البصمة"
"Attendance Settings","إعدادات الحضور"
"Geo Fence","السياج الجغرافي"
"Geo Fences","الأسياج الجغرافية"
"Crew","الفريق"
"Crews","الفرق"
"Crew Member","عضو الفريق"
"Crew Members","أعضاء الفريق"
"Site Deployment","نشر الموقع"
"Site Deployments","نشرات المواقع"
"Document Expiry Tracker","متتبع انتهاء الوثائق"
"Document Expiry Trackers","متتبعي انتهاء الوثائق"
"Labor Camp","معسكر العمال"
"Labor Camps","معسكرات العمال"

# DocTypes - Saudization
"Job Requisition","طلب توظيف"
"Job Requisitions","طلبات التوظيف"
"Job Requisition Skill","مهارة طلب التوظيف"
"Job Requisition Skills","مهارات طلب التوظيف"
"Saudization Settings","إعدادات التوطين"

# Fields - Biometric User Mapping
"Employee","الموظف"
"Device User ID","معرف المستخدم في الجهاز"
"Biometric Device","جهاز البصمة"
"Is Active","نشط"
"Last Sync","آخر مزامنة"

# Fields - Attendance Settings
"Late Threshold (Minutes)","حد التأخير (دقائق)"
"Half Day Threshold (Minutes)","حد نصف اليوم (دقائق)"
"OT Multiplier","مضاعف العمل الإضافي"
"Auto Generate Attendance","توليد الحضور تلقائياً"
"Expected Start Time","وقت البدء المتوقع"
"Expected End Time","وقت الانتهاء المتوقع"

# Fields - Geo Fence
"Fence Name","اسم السياج"
"Location","الموقع"
"Latitude","خط العرض"
"Longitude","خط الطول"
"Radius (Meters)","نصف القطر (متر)"
"Is Active","نشط"
"Project","المشروع"
"Branch","الفرع"

# Fields - Crew
"Crew Name","اسم الفريق"
"Crew Type","نوع الفريق"
"Supervisor","المشرف"
"Status","الحالة"
"Members","الأعضاء"
"Description","الوصف"
"Construction","الإنشاءات"
"Maintenance","الصيانة"
"Electrical","الكهرباء"
"Plumbing","السباكة"
"HVAC","التكييف والتهوية"
"Cleaning","التنظيف"
"Security","الأمن"
"Landscaping","تنسيق الحدائق"
"Active","نشط"
"Inactive","غير نشط"
"On Leave","في إجازة"

# Fields - Crew Member
"Employee Name","اسم الموظف"
"Designation","المسمى الوظيفي"
"Role","الدور"
"Join Date","تاريخ الانضمام"
"Member","عضو"
"Lead","قائد"
"Assistant","مساعد"

# Fields - Site Deployment
"Deployment Date","تاريخ النشر"
"Expected End Date","تاريخ الانتهاء المتوقع"
"Work Description","وصف العمل"
"Priority","الأولوية"
"Assigned By","تم التعيين بواسطة"
"Approved By","تمت الموافقة بواسطة"
"Approval Status","حالة الموافقة"
"Planned","مخطط"
"Completed","مكتمل"
"Cancelled","ملغي"
